area_0,area_1,area_2,time,iter 
-7,-33,40,87,8
-7,-33,40,88,8
-7,-33,40,89,8
-7,-33,40,90,8
-7,-33,40,91,8
-7,-33,40,92,8
-7,-33,40,93,8
-7,-33,40,94,8
-7,-33,40,95,8
-7,-33,40,96,8
-7,-33,40,97,8
-7,-33,40,98,8
-7,-33,40,99,8
-7,-33,40,100,8
-7,-33,40,101,8
-7,-33,40,102,8
-7,-33,40,103,8
-7,-33,40,104,8
-7,-33,40,105,8
-7,-33,40,106,8
-7,-33,40,107,8
-7,-33,40,108,8
-7,-33,40,109,8
-7,-33,40,110,8
-7,-33,40,111,8
-7,-33,40,112,8
-7,-33,40,113,8
-7,-33,40,114,8
-7,-33,40,115,8
-7,-33,40,116,8
-7,-33,40,117,8
-7,-33,40,118,8
-7,-33,40,119,8
-7,-33,40,120,8
-7,-33,40,121,8
-7,-33,40,122,8
-7,-33,40,123,8
-7,-33,40,124,8
-7,-33,40,125,8
-7,-33,40,126,8
-7,-33,40,127,8
-7,-33,40,128,8
-7,-33,40,129,8
-7,-33,40,130,8
-7,-33,40,131,8
-7,-33,40,132,8
-7,-33,40,133,8
-7,-33,40,134,8
-7,-33,40,135,8
-7,-33,40,136,8
-7,-33,40,137,8
-7,-33,40,138,8
-7,-33,40,139,8
-7,-33,40,140,8
-7,-33,40,141,8
-7,-33,40,142,8
-7,-33,40,143,8
-7,-33,40,144,8
-7,-33,40,145,8
-7,-33,40,146,8
-7,-33,40,147,8
-7,-33,40,148,8
-7,-33,40,149,8
-7,-33,40,150,8
-7,-33,40,151,8
12,15,17,0,9
12,15,17,1,9
15,18,22,2,9
19,25,34,3,9
21,33,49,4,9
26,43,57,5,9
28,49,76,6,9
